Name,Platform,Year_of_Release,Genre,Global_Sales,Critic_Score,Critic_Count,Rating
Wii Sports,Wii,2006,Sports,82.53,76,51,E
Super Mario Bros.,NES,1985,Platform,40.24,,,
Mario Kart Wii,Wii,2008,Racing,35.52,82,73,E
Wii Sports Resort,Wii,2009,Sports,32.77,80,73,E
Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,31.37,,,
Tetris,GB,1989,Puzzle,30.26,,,
New Super Mario Bros.,DS,2006,Platform,29.8,89,65,E
Wii Play,Wii,2006,Misc,28.92,58,41,E
New Super Mario Bros. Wii,Wii,2009,Platform,28.32,87,80,E
Duck Hunt,NES,1984,Shooter,28.31,,,
Nintendogs,DS,2005,Simulation,24.67,,,
Mario Kart DS,DS,2005,Racing,23.21,91,64,E
Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,23.1,,,
Wii Fit,Wii,2007,Sports,22.7,80,63,E
Kinect Adventures!,X360,2010,Misc,21.81,61,45,E
Wii Fit Plus,Wii,2009,Sports,21.79,80,33,E
Grand Theft Auto V,PS3,2013,Action,21.04,97,50,M
Grand Theft Auto: San Andreas,PS2,2004,Action,20.81,95,80,M
Super Mario World,SNES,1990,Platform,20.61,,,
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,20.15,77,58,E
Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,18.25,,,
Super Mario Land,GB,1989,Platform,18.14,,,
Super Mario Bros. 3,NES,1988,Platform,17.28,,,
Grand Theft Auto V,X360,2013,Action,16.27,97,58,M
Grand Theft Auto: Vice City,PS2,2002,Action,16.15,95,62,M
Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,15.85,,,
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,15.29,77,37,E
Pokemon Black/Pokemon White,DS,2010,Role-Playing,15.14,,,
Gran Turismo 3: A-Spec,PS2,2001,Racing,14.98,95,54,E
Call of Duty: Modern Warfare 3,X360,2011,Shooter,14.73,88,81,M
Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,14.64,,,
Call of Duty: Black Ops 3,PS4,2015,Shooter,14.63,,,
Call of Duty: Black Ops,X360,2010,Shooter,14.61,87,89,M
Pokemon X/Pokemon Y,3DS,2013,Role-Playing,14.6,,,
Call of Duty: Black Ops II,PS3,2012,Shooter,13.79,83,21,M
Call of Duty: Black Ops II,X360,2012,Shooter,13.67,83,73,M
Call of Duty: Modern Warfare 2,X360,2009,Shooter,13.47,94,100,M
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,13.32,88,39,M
Grand Theft Auto III,PS2,2001,Action,13.1,97,56,M
Super Smash Bros. Brawl,Wii,2008,Fighting,12.84,93,81,T
Mario Kart 7,3DS,2011,Racing,12.66,85,73,E
Call of Duty: Black Ops,PS3,2010,Shooter,12.63,88,58,M
Grand Theft Auto V,PS4,2014,Action,12.61,97,66,M
Animal Crossing: Wild World,DS,2005,Simulation,12.13,86,57,E
Halo 3,X360,2007,Shooter,12.12,94,86,M
Super Mario 64,N64,1996,Platform,11.89,,,
Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,11.77,,,
