type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
white,7,0.27,0.36,20.7,45,45,170,1001,3,0.45,8.8,6
white,6.3,0.3,0.34,1.6,49,14,132,994,3.3,0.49,9.5,6
white,8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,6
white,7.2,0.23,0.32,8.5,58,47,186,0.9956,3.19,0.4,9.9,6
white,7.2,0.23,0.32,8.5,58,47,186,0.9956,3.19,0.4,9.9,6
white,8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,6
white,6.2,0.32,0.16,7,45,30,136,0.9949,3.18,0.47,9.6,6
white,7,0.27,0.36,20.7,45,45,170,1001,3,0.45,8.8,6
white,6.3,0.3,0.34,1.6,49,14,132,994,3.3,0.49,9.5,6
white,8.1,0.22,0.43,1.5,44,28,129,0.9938,3.22,0.45,11,6
white,8.1,0.27,0.41,1.45,33,11,63,0.9908,2.99,0.56,12,5
white,8.6,0.23,0.4,4.2,35,17,109,0.9947,3.14,0.53,9.7,5
white,7.9,0.18,0.37,1.2,0.04,16,75,992,3.18,0.63,10.8,5
white,6.6,0.16,0.4,1.5,44,48,143,0.9912,3.54,0.52,12.4,7
white,8.3,0.42,0.62,19.25,0.04,41,172,1.0002,2.98,0.67,9.7,5
white,6.6,0.17,0.38,1.5,32,28,112,0.9914,3.25,0.55,11.4,7
white,6.3,0.48,0.04,1.1,46,30,99,0.9928,3.24,0.36,9.6,6
white,,0.66,0.48,1.2,29,29,75,0.9892,3.33,0.39,12.8,8
white,7.4,0.34,0.42,1.1,33,17,171,0.9917,3.12,0.53,11.3,6
white,6.5,0.31,0.14,7.5,44,34,133,0.9955,3.22,0.5,9.5,5
white,6.2,0.66,0.48,1.2,29,29,75,0.9892,3.33,0.39,12.8,8
white,6.4,0.31,0.38,2.9,38,19,102,0.9912,3.17,0.35,11,7
white,6.8,0.26,0.42,1.7,49,41,122,993,3.47,0.48,10.5,8
white,7.6,0.67,0.14,1.5,74,25,168,0.9937,3.05,0.51,9.3,5
white,6.6,0.27,0.41,1.3,52,16,142,0.9951,3.42,0.47,10,6
white,7,0.25,0.32,9,46,56,245,0.9955,3.25,0.5,10.4,6
white,6.9,0.24,0.35,1,52,35,146,993,3.45,0.44,10,6
white,7,0.28,0.39,8.7,51,32,141,0.9961,3.38,0.53,10.5,6
white,7.4,0.27,0.48,1.1,47,17,132,0.9914,3.19,0.49,11.6,6
white,7.2,0.32,0.36,2,33,37,114,0.9906,3.1,0.71,12.3,7
white,8.5,0.24,0.39,10.4,44,20,142,0.9974,3.2,0.53,10,6
white,8.3,0.14,0.34,1.1,42,7,47,0.9934,3.47,0.4,10.2,6
